Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3
variation;BIK-VILL-NEG-CAJ-4050;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-caja.jpg;;;BIK-VILL;;;;;;35;Color;Negro;;1;Medida;40 X 50;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-NEG-CHA-4050;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-chata.jpg;;;BIK-VILL;;;;;;36;Color;Negro;;1;Medida;40 X 50;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-NEG-CAJ-4060;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;60;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-caja.jpg;;;BIK-VILL;;;;;;37;Color;Negro;;1;Medida;40 X 60;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-NEG-CHA-4060;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;60;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-chata.jpg;;;BIK-VILL;;;;;;38;Color;Negro;;1;Medida;40 X 60;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-NEG-CAJ-5070;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;70;50;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-caja.jpg;;;BIK-VILL;;;;;;39;Color;Negro;;1;Medida;50 X 70;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-NEG-CHA-5070;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;70;50;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-chata.jpg;;;BIK-VILL;;;;;;40;Color;Negro;;1;Medida;50 X 70;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-NEG-CAJ-6090;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;90;60;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-caja.jpg;;;BIK-VILL;;;;;;41;Color;Negro;;1;Medida;60 X 90;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-NEG-CHA-6090;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Negro.";;;taxable;parent;1;;;0;0;1;90;60;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/negro-chata.jpg;;;BIK-VILL;;;;;;42;Color;Negro;;1;Medida;60 X 90;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-1520;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;20;15;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;1;Color;Blanco;;1;Medida;15 X 20;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-1520;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;20;15;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;2;Color;Blanco;;1;Medida;15 X 20;;1;Tipo de Marco;Chata;;1
