ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3
2394;variation;SET-2-CUSTOM-CH-50X70-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;11600;;;;;;;SET-2-CUSTOM;;;;;;27;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;50 X 70;;1
2393;variation;SET-2-CUSTOM-CH-40X60-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;8200;;;;;;;SET-2-CUSTOM;;;;;;26;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;40 X 60;;1
2392;variation;SET-2-CUSTOM-CH-40X50-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;7700;;;;;;;SET-2-CUSTOM;;;;;;25;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;40 X 50;;1
2391;variation;SET-2-CUSTOM-CH-30X40-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;5600;;;;;;;SET-2-CUSTOM;;;;;;24;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;30 X 40;;1
2389;variation;SET-2-CUSTOM-CH-15X20-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;2500;;;;;;;SET-2-CUSTOM;;;;;;22;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;15 X 20;;1
2390;variation;SET-2-CUSTOM-CH-20X30-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;3800;;;;;;;SET-2-CUSTOM;;;;;;23;Color;Natural;;1;Tipo de Marco;Chata;;1;Medida;20 X 30;;1
2388;variation;SET-2-CUSTOM-CA-60X90-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;17300;;;;;;;SET-2-CUSTOM;;;;;;21;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;60 X 90;;1
2387;variation;SET-2-CUSTOM-CA-50X70-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;12550;;;;;;;SET-2-CUSTOM;;;;;;20;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;50 X 70;;1
2386;variation;SET-2-CUSTOM-CA-40X60-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;9000;;;;;;;SET-2-CUSTOM;;;;;;19;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;40 X 60;;1
2385;variation;SET-2-CUSTOM-CA-40X50-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;8300;;;;;;;SET-2-CUSTOM;;;;;;18;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;40 X 50;;1
2384;variation;SET-2-CUSTOM-CA-30X40-NA;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;6100;;;;;;;SET-2-CUSTOM;;;;;;17;Color;Natural;;1;Tipo de Marco;Caja;;1;Medida;30 X 40;;1
2379;variation;SET-2-CUSTOM-CH-40X60-BL;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;8200;;;;;;;SET-2-CUSTOM;;;;;;12;Color;Blanco;;1;Tipo de Marco;Chata;;1;Medida;40 X 60;;1
